id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage,volume_marketcap_ratio,high_low_range_pct,has_max_supply,circulating_supply_ratio,dist_ath_pct,label
nexo,nexo,NEXO,0.76159,762040252,81,762040252,10253221.0,0.797446,0.762611,-0.027272272734367,-3.45717,-27061267.21356857,-3.42938,1000000000.0,1000000000.0,1000000000.0,4.07,-81.20926,0.04515276,1592.92389,0.013454959856897429,4.567859629614567,1,1.0,-81.20926,baixa
ethena,ena,Ethena,0.081495,757534228,82,1222651075,209969937.0,0.090237,0.079971,-0.0061733649445786,-7.0417,-55417439.66223621,-6.81682,9293750000.0,15000000000.0,15000000000.0,1.52,-94.61743,0.076868,6.27482,0.27717551133544294,12.837153468132195,1,0.6195833333333334,-94.61743,baixa
venice-token,vvv,Venice Token,15.89,744549085,83,1275788308,59841212.0,18.23,15.39,-2.162997270992923,-11.9819,-95555659.20511758,-11.37426,46840264.45182644,80261010.22391464,,22.58,-29.69347,0.91975,1626.41364,0.08037242030859523,18.453541260558804,0,0.0,-29.69347,baixa
stable-2,stable,​​Stable,0.03135718,735029233,84,3135773222,21132716.0,0.03498256,0.03067997,-0.0015186109022428,-4.61924,-35146463.211809635,-4.56343,23440127229.0,100000000000.0,100000000000.0,0.04267238,-26.35627,0.0092214,240.78929,0.028750851056287174,14.024101066591662,1,0.23440127229,-26.35627,baixa
just,jst,JUST,0.08104,692389214,85,692389214,22849246.0,0.083775,0.079068,0.00151106,1.9,13109726.0,1.92995,8543764567.312736,8543764567.312736,9900000000.0,0.193254,-58.06879,0.00476275,1601.40905,0.033000580508754145,5.953103657611174,1,0.8630065219507814,-58.06879,alta
bianrensheng,币安人生,币安人生 (BinanceLife),0.690535,690515157,86,690515157,37677297.0,0.749329,0.671137,-0.0242682000252425,-3.39509,-31478420.725928187,-4.35993,1000000000.0,1000000000.0,1000000000.0,0.895319,-22.68455,0.03843448,1701.03913,0.0545640405109891,11.650676389470412,1,1.0,-22.68455,baixa
janus-henderson-anemoy-aaa-clo-fund,jaaa,Janus Henderson Anemoy AAA CLO Fund,1.037,684219288,87,684219288,0.0,1.037,1.037,6.7e-05,0.00646,250114334.0,57.6161,659661413.338319,659661413.338319,,1.037,0.0,1.009,2.74803,0.0,0.0,0,0.0,0.0,alta
gatechain-token,gt,Gate,6.28,668649289,88,761717678,1447205.0,6.47,6.28,-0.0773091355529187,-1.21685,-10965551.863279223,-1.6135,106483509.17747104,121304804.66747102,142622844.0,25.38,-75.25357,0.25754,2338.86693,0.002164370805156124,3.0254777070063614,1,0.7466090718080972,-75.25357,lateral
xdce-crowd-sale,xdc,XDC Network,0.03169505,632060414,89,1206205912,19661692.0,0.03180037,0.03060363,0.00034549,1.10207,6679358.0,1.06805,19946688440.0,38065686425.1,,0.192754,-83.56396,0.00039532,7914.09058,0.03110729855010347,3.910451145828131,0,0.0,-83.56396,alta
beldex,bdx,Beldex,0.078469,607078305,90,779641991,10761667.0,0.079532,0.078116,-0.0005409557494774,-0.68467,-4406930.647373199,-0.72069,7738254347.861193,9937874540.168692,,0.450785,-82.60074,0.00027519,28401.94049,0.017726983341959487,1.8126888217522663,0,0.0,-82.60074,lateral
flare-networks,flr,Flare,0.00700276,598689068,91,742138746,2688500.0,0.00736028,0.00700387,-0.0001384638074114,-1.93894,-11210425.140922546,-1.83808,85472633859.75764,105952416206.2886,,0.150073,-95.33186,0.0064918,7.91482,0.004490644883463949,5.088758072322881,0,0.0,-95.33186,lateral
filecoin,fil,Filecoin,0.755407,595470192,92,1478870710,75134779.0,0.791241,0.755843,-0.0239773371818833,-3.07645,-17653027.049857616,-2.8792,788277716.0,1957714828.0,,236.84,-99.6807,0.677565,11.60926,0.12617722937170966,4.683247711495632,0,0.0,-99.6807,baixa
gho,gho,GHO,0.999261,583521804,93,583521804,5929822.0,0.999581,0.998586,-0.0002789587405236,-0.02791,-131233.49613583088,-0.02248,584000000.0,584000000.0,,1.03,-2.97462,0.917065,8.95716,0.010162125835489774,0.09964089222160928,0,0.0,-2.97462,alta
hash-2,hash,Provenance Blockchain,0.01069564,577223034,94,1015856034,31479.0,0.01215131,0.0097752,0.00064252,6.39127,34857496.0,6.42694,53968044573.0,94978475357.64638,100000000000.0,0.060147,-82.21748,0.00868929,23.09002,5.453524572964287e-05,24.307533349701295,1,0.53968044573,-82.21748,alta
injective-protocol,inj,Injective,5.65,564687479,95,564687479,105339363.0,5.87,5.45,0.02842621,0.50594,3883484.0,0.69249,100000000.0,100000000.0,,52.62,-89.2652,0.657401,759.25117,0.1865445346628626,7.706422018348623,0,0.0,-89.2652,alta
usual-usd,usd0,Usual USD,0.99889,552614111,96,552614111,1259005.0,1.0,0.998334,-0.0009050167017837,-0.09052,-648184.2953072786,-0.11716,553278123.4464132,553278123.4464132,,1.33,-24.65839,0.962885,3.73031,0.002278271536935111,0.16687801877928082,0,0.0,-24.65839,alta
aptos,apt,Aptos,0.656958,539390780,97,791692222,63782714.0,0.69067,0.63981,-0.0183425834765101,-2.71621,-14215675.839374425,-2.56783,820261032.8828526,1203940267.14818,2100000000.0,19.92,-96.70164,0.619477,6.06605,0.11824954442120794,7.9492349291195845,1,0.3906004918489774,-96.70164,lateral
pump-fun,pump,Pump.fun,0.00151647,531287615,99,1307078491,53895905.0,0.00165926,0.00151763,-9.0028819390682e-05,-5.60405,-30752787.838810265,-5.47163,349581365850.5451,860043169521.7677,1000000000000.0,0.00881908,-82.80471,0.00131641,15.19756,0.10144393258630732,9.332314200430936,1,0.3495813658505451,-82.80471,baixa
ylds,ylds,YLDS,0.999711,530721768,98,530721768,31185537.0,1.0,0.999508,9.853e-05,0.00986,-631432.8067320585,-0.11883,530875291.54,530875291.54,,1.001,-0.13735,0.999202,0.05086,0.05876061409261811,0.049224218315415985,0,0.0,-0.13735,alta
a7a5,a7a5,A7A5,0.01308165,512956229,100,512956229,2425.22,0.01318762,0.01292819,-0.0001053101005936,-0.79859,-4099273.4922644496,-0.79281,39213792808.86073,39213792808.86073,,0.229635,-94.30372,1.048e-05,124744.02021,4.72792777022696e-06,2.0067000871738405,0,0.0,-94.30372,lateral
