id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage,volume_marketcap_ratio,high_low_range_pct,has_max_supply,circulating_supply_ratio,dist_ath_pct,label
whitebit,wbt,WhiteBIT Coin,43.73,5179420106,21,12881377462,105165877.0,45.62,43.73,-1.7010000000000003,-3.74389,-196242131.1899996,-3.65057,118289410.0,294189409.0,400000000.0,64.11,-31.69726,3.06,1330.1227,0.020304565925859653,4.3219757603475895,1,0.295723525,-31.69726,baixa
the-open-network,ton,Toncoin,1.71,4584233802,22,8900986628,164435346.0,1.81,1.68,-0.0133364535614248,-0.77425,-13058956.778832436,-0.28406,2675190699.096503,5194289311.67906,,8.25,-79.22356,0.519364,230.17431,0.03586975558014962,7.738095238095245,0,0.0,-79.22356,lateral
usd1-wlfi,usd1,USD1,0.998769,4560341023,23,4560341023,899766605.0,0.999519,0.998056,-0.0002123824885477,-0.02126,-60903624.17950153,-1.31791,4565079788.108895,4565079788.108895,,1.025,-2.53446,0.989633,0.9316,0.19730248252532934,0.146584961164503,0,0.0,-2.53446,alta
ethena-usde,usde,Ethena USDe,0.999111,4485687532,24,4484187803,70429855.0,0.999533,0.998891,-0.0002016818558503,-0.02018,-1303139.6967935562,-0.02904,4490121828.44166,4488620616.229659,,1.034,-3.39625,0.929486,7.46862,0.015701016733235977,0.06427127684602539,0,0.0,-3.39625,alta
dai,dai,Dai,0.999732,4229827694,25,4213403606,163704058.0,0.999902,0.999498,-6.2060111401085e-05,-0.00621,1413973.0,0.03344,4230962335.145175,4214533841.661108,,1.22,-17.9831,0.88196,13.35312,0.038702299441703926,0.04042029098607101,0,0.0,-17.9831,alta
bitcoin-cash,bch,Bitcoin Cash,202.93,4071075383,26,4071076652,226115850.0,213.64,202.77,-3.4887870335951163,-1.69018,-76474786.12229109,-1.84385,20045584.27165078,20045590.52165078,21000000.0,3785.82,-94.63984,76.93,163.76366,0.05554204447901278,5.360753563150356,1,0.9545516319833705,-94.63984,lateral
memecore,m,MemeCore,2.93,3845615645,27,15777567139,5139726.0,3.24,2.93,-0.2111251199346262,-6.71617,-291146210.26221466,-7.03802,1310878360.613031,5378195133.139394,10000000000.0,4.82,-39.18253,0.04746135,6073.64232,0.0013365157817273234,10.580204778156997,1,0.1310878360613031,-39.18253,baixa
hedera-hashgraph,hbar,Hedera,0.079481,3448601412,28,3975468925,48494170.0,0.083081,0.079509,-0.0028864514090899,-3.50435,-120835649.64700983,-3.38529,43373517400.21111,50000000000.0,50000000000.0,0.569229,-86.02648,0.00986111,706.61626,0.01406198171561846,4.492573167817487,1,0.8674703480042223,-86.02648,baixa
litecoin,ltc,Litecoin,42.24,3266469747,29,3266518896,275008111.0,43.77,42.21,-0.8868719214005836,-2.05658,-66679073.266377926,-2.00048,77260458.23347135,77261620.73347135,84000000.0,410.26,-89.70785,1.15,3575.39947,0.0841912316048767,3.6958066808813133,1,0.919767359922278,-89.70785,lateral
lab,lab,LAB,10.45,3265402951,30,10447856966,27856243.0,13.06,10.09,-2.4022597967100534,-18.69446,-749697568.4701385,-18.67195,312542846.0,1000000000.0,1000000000.0,27.3,-61.78053,0.074235,13955.71522,0.008530721450922091,29.435084241823596,1,0.312542846,-61.78053,baixa
sui,sui,Sui,0.738147,2981297597,31,7399235396,397312422.0,0.771223,0.733137,-0.0237100121102372,-3.11213,-81815800.0042448,-2.671,4029196852.454399,10000000000.0,10000000000.0,5.35,-86.19399,0.364846,102.31737,0.13326828639978944,5.194936280667863,1,0.4029196852454399,-86.19399,baixa
avalanche-2,avax,Avalanche,6.56,2831407683,33,3039082430,193262343.0,6.87,6.56,-0.2237730951416852,-3.2998,-92096568.30406187,-3.15021,431771961.1772119,463441061.1772119,720000000.0,144.96,-95.47056,2.8,134.40823,0.06825662872936408,4.725609756097569,1,0.5996832794127943,-95.47056,baixa
paypal-usd,pyusd,PayPal USD,0.999571,2793305103,34,2793305103,163040965.0,1.0,0.999411,-0.00032619169363,-0.03262,-59185058.90735149,-2.07486,2794194297.98841,2794194297.98841,,1.081,-7.50686,0.959426,4.19863,0.05836847712227875,0.05893471254568447,0,0.0,-7.50686,alta
